Obst & Gemüse	Frische & Kühlung	Fleisch und Fisch	Tiefkühlung	Süß & Salzig	Backwaren	Vorratskammer 	Getränke	Hygiene & Haushaltswaren
Nektarine	Quicheteig	Steak		Hanuta		Bambussprossen		
Aprikose	Tartteig	Wings		Duplo		Rollmops		
Granatapfel	Milchschnitte	Geschnetzeltes		Lion		Artischokenherz		
Petersilie	Schmand	Cevapcici 		Goldbären		Silberzwiebeln 		
Honigmelone	Paula	Geillfackeln		Katjes		Letscho		
Cantaloupemelone	Burrata	Kasseler		Daim		Bierwurst		
Sellerie	Almighurt	Keule		Haribo		Maggi		
Staudensellerie	Sandwichscheiben	Eisbein		Phantasia 		Roulade		
Orange	Maultaschen	Patties 		Color-rado		Brühe		
Koriander	Pingui	Entrecote 		Toblerone		Hollandaise		
Physalis	Parmigiano	Rippe		Soft cake		Soße		
Minze	Froop 	Rippchen		Toffifee		Bolognese 		
Romanaherzen	Grütze	Pulled pork		Tortilla chips		Pesto		
Chicoree	Halloumi	Medaillons		Pick up!		Fond		
Fenchel	Grand Dessert	Ribs		Pombär		Sauce		
Himbeere	Maasdamer	Schenkel		Praline		Röstzwiebel		
Dattel	Kaergarden	Seitan		Mikado		Salz		
Basilikum	Grünländer	Ochse		Käsebällchen		Curry		
Schalotte	Sylter	Kotelett		Manner		Würze		
Spinat	Maxi King	Pulled		After eight		Edelsüß		
Spitzkohl	Zaziki 	Flügel		Studentenfutter		Pfeffer		
Kaiserschote	Aioli	Scampi		Dickmann		Rosenscharf		
Schote	Sour Cream	kabeljau		Balisto		Lorbeerblatt 		
Zuckerschote	Emmentaler	thunfisch		Maoam 		Lorbeerblätter 		
Maiskolben	Tilsiter			Lakritz		Backerbsen		
Dill	Choco Fresh			Kaugummi		Bouillon 		
Ananas	Creme Vega			Saure pommes		Oregano		
Passionsfrucht	Monte			Lotus biscoff		Gemahlen 		
Kresse	Hummus			Snickers		Granuliert		
Pak choi	Kefir			Merci		Knoblauchsauce 		
Seitling	Fleischsalat 			Rocher		Bechamel		
Pastinake 	Eiersalat			Raffaello		Gerebelt		
Johannisbeere	Lassi 			Smarties		Zimt		
Chili	Hafer-Soja			Waffel		Kümmel		
Grapefruit	Margarine			Ritz		Chilifloken		
Rote Beete	Mousse au Chocolat			Studentenfutter		Mondamin		
Bohne 	Krautsalat			Zartbitter		Speisestärke		
Bruchbohne	Kartoffelsalat			Russisch brot		Saucenbinder		
Pinienkerne	Latte			Popcorn 		Kräuterlinge		
Kokosnuss	Latte Macchiato			Spritzgebäck		Thymian		
Kokos-Chips	Kochcreme			Nugat		Muskatnuss		
Sonnenblumenkerne	Thunfischsalat			Happy hippo		Majoran		
Papaya	Kräuterbaguette			Riesen		Kurkuma		
Rosmarin	Knoblauchbaguette			Erfrischungsstäbchen		Mehlschwitze		
Schnittlauch	Joghurtalternative			Cantuccini		Provence		
Thymian	Milchalternative			Kitkat		Sel		
Pilz	Leerdammer			Goldfischli		Basilikum		
Austernpilz	Creme legere			Giotto		Masala		
Kürbiskern	Gruyere			Balla-balla		Rosenpaprika		
Pflaume	Haferdrink			Knusperflocken		Koriander		
Pinienkern	Gorgonzola			Ritter sport		Rosmarin		
Sprossen	Hummus			Bonbon		Hefeflocken		
Blumenkohl 	Falaffelbällchen			Käsestangen		Safran		
Feige	Alpro 			Ricola		Estragon		
Edamame	Zaziki			Doritos		Öl		
Korinthen	Harzer			Marshmallow 		Essig		
Cranberry	Hirtenkäse			Airwaves		Balsamico 		
Cranberries	Kiri			M&M		Kardamom		
Kirsche	Erbsendrink			Lindt		Hanout		
Sultaninen 	Sauerkrautsalat			Esspapier		Nelke		
Nuss	ricotta			Ufos		Tandoori		
Radicchio				Küsschen		Bohnenkraut 		
Gojibeere				Dextro		Liebstöckel 		
Kokos				Amarettini		Piment		
Obst				Schogette		Kerbel		
Gemüse				Zwiebelringe		Sojasauce 		
Suppengemüse				Vitalgebäck		Tonkabohne		
Lychee				Grissini		Anis		
pfifferling				Konfekt		Gewürz		
porree				Brause		Massala		
Hokkaido 				Mentos		Hefe		
Kürbis				Weingummi		Agavendicksaft		
Butternut 				Maltesers		Oblaten		
Rote Beete				Sallos		Puddingpulver		
spargel				Tic tac		Vanille		
Artischocke				Minibrezel		Backin		
				Pez		Backpulver		
				Nachos		Pulver		
						Kakao		
						Kaffee		
						Milchreis		
						Ahornsirup		
						Gehobelt		
						Sahnesteif		
						Streusel		
						Tortenguss		
						Gestiftelt		
						Raspel		
						Kuvertüre		
						Paradiscreme		
						Paradis-creme		
						Backmischung		
						Goldsaft		
						Zuckerrübensirup		
						Natron		
						Backsoda		
						Gehackt		
						Glasur		
						Xylit		
						Stevia		
						Gelatine		
						Erythrit		
						Marzipan		
						Agar		
						Streusel		
						Aroma		
						Quarkfein		
						Lebensmittelfarbe		
						Speisefarbe		
						Süßstoff		
						Nibs 		
						Flohsamenschale		
						Zuckerschrift		
						Fondant		
						Grieß		
						Polenta		
						Kandis		
						Kakao		
						Raspeln		
						Orangeat		
						Citronat		
						Nutella		
						Marmelade		
						Fruchtaufstrich		
						Honig		
						Konfitüre		
						Erdnussbutter 		
						Gelee		
						Nusspli		
						Aufstrich		
						Streichcreme		
						Eszet		
						Müsli		
						Haferflocken		
						Porridge		
						Toppas		
						Fruitloops		
						Honey		
						Cornflakes		
						Smacks		
						Cerealien		
						Knusper		
						Wheats		
						Flakes		
						Corny		
						Nesquik		
						Haferkleie		
						Koawach		
						Basmati		
						Langkorn		
						Spaghetti		
						Penne		
						Fusilli		
						Pasta		
						Lasagne		
						Farfalle		
						Tagliatelle		
						Hörnchen		
						Spirelli		
						Rigate		
						Spätzle		
						Nudeln		
						Maccronelli		
						Maccaroni		
						Linguine		
						Mie		
						Couscous		
						Hirse		
						Bulgur		
						Reispapier 		
						Mayonnaise 		
						Mayo		
						Sushireis		
						Senf 		
						salbe		
						Kokosmilch 		
						Remoulade		
						harissa		
						Orangat 		
						Zitronat		
						Meerrettich		
						Tabasco		
						Samba		
						Ghee		
						Weizenschrot		
						Sesamöl		
						Öl		
						Rosinen		
